Address,Beds,Baths,Area,Construction,Parking,Price
"3230 Fenton Ave, Bronx, NY 10469",3,2,1450,0,0,"$569,000"
"74 Beacon Ln #102, Bronx, NY 10473",4,3,1418,0,0,"$539,000"
"2151 Mapes Ave, Bronx, NY 10460",3,3,1320,0,0,"$595,000"
"3138 Ampere Ave, Bronx, NY 10465",3,3,1985,0,0,"$579,900"
"4028 Barnes Ave, Bronx, NY 10466",3,2,1374,0,0,"$599,000"
"4460 Carpenter Ave, Bronx, NY 10470",3,2,1870,0,0,"$549,999"
"651 E 231st St, Bronx, NY 10466",3,2,2000,0,0,"$550,000"
"928 Duncan St, Bronx, NY 10469",3,3,1224,0,0,"$550,000"
"1235 Rev J A Polite Ave, Bronx, NY 10459",5,4,1992,0,0,"$574,000"
"1002 Clarence Ave, Bronx, NY 10465",3,2,1852,0,0,"$599,000"
"4146 Paulding Ave, Bronx, NY 10466",3,2,2143,0,0,"$589,900"
"1373 Hollywood Ave, Bronx, NY 10461",3,2,1493,0,0,"$574,999"
"3349 Mickle Ave, Bronx, NY 10469",3,2,1440,0,0,"$595,000"
"649 Logan Ave, Bronx, NY 10465",3,3,1408,0,0,"$585,000"
"469 E 185th St, Bronx, NY 10458",4,3,1296,0,0,"$505,000"
"3048 Coddington Ave, Bronx, NY 10461",3,3,1152,0,0,"$569,000"
"1616 Taylor Ave, Bronx, NY 10460",3,3,0,0,0,"$519,000"
"4555 Henry Hudson Pkwy APT 1404, Bronx, NY 10471",3,2,1350,0,0,"$589,000"
"1516 McDonald St, Bronx, NY 10461",3,2,1660,0,0,"$595,000"
"2493 Marion Ave, Bronx, NY 10458",4,2,0,0,0,"$529,000"
"3216 Corlear Ave, Bronx, NY 10463",7,3,1880,0,0,"$600,000"
"3757 Barnes Ave #A, Bronx, NY 10467",3,3,0,0,0,"$599,000"
"2764 Miles Ave, Bronx, NY 10465",3,2,1792,0,0,"$575,000"
"4499 Henry Hudson Pkwy APT 4G, Bronx, NY 10471",4,2,1750,0,0,"$559,000"
"2327 Washington Ave #B, Bronx, NY 10458",3,4,0,0,0,"$549,000"
"3167 Fairmount Ave, Bronx, NY 10465",3,2,1852,0,0,"$589,000"
"1709 Hobart Ave, Bronx, NY 10461",3,1,0,0,0,"$500,000"
"1100 Grand Concourse APT 3K, Bronx, NY 10456",3,2,0,0,0,"$575,000"
"4035 De Reimer Ave, Bronx, NY 10466",3,2,2304,0,0,"$555,900"
"1480 Louis Nine Out Of Avenue Town, Bronx, NY 10459",3,4,0,0,0,"$500,000"
"5455 Sylvan Ave, Riverdale, NY 10471",2,2,5600,0,0,"$575,000"
"2753 Decatur Ave, Bronx, NY 10458",3,2,1598,0,0,"$549,000"
"3088 Mitchell Pl, Bronx, NY 10465",3,1,1140,0,0,"$528,000"
"2327 Washington Ave, Bronx, NY 10458",3,4,1200,0,0,"$549,000"
"1368 Plimpton Ave, Bronx, NY 10452",4,2,1750,0,0,"$525,000"
"2517 Boston Rd, Bronx, NY 10467",4,2,1350,0,0,"$565,000"
"2278 Hampden Pl, Bronx, NY 10468",7,3,2660,0,0,"$525,000"
"533 Underhill Ave, Bronx, NY 10473",4,2,0,0,0,"$550,000"
"10 Wade Sq, Bronx, NY 10457",3,2,1320,0,0,"$549,900"
