Address,Beds,Baths,Area,Construction,Parking,Price
"9524 Fort Hamilton Pkwy APT 203, Brooklyn, NY 11209",1,1,550,0,0,"$269,000"
"50 Shore Blvd APT 2B, Brooklyn, NY 11235",0,1,500,0,0,"$239,000"
"2280 Burnett St APT 3A, Brooklyn, NY 11229",1,1,750,0,0,"$230,000"
"3178 Nostrand Ave APT 2N, Brooklyn, NY 11229",1,1,850,0,0,"$229,000"
"2815 Ocean Pkwy APT 2H, Brooklyn, NY 11235",1,1,850,0,0,"$229,000"
"2425 Haring St APT 2H, Brooklyn, NY 11235",2,1,1150,0,0,"$298,000"
"1165 E 54th St APT 1X, Brooklyn, NY 11234",3,2,1200,0,0,"$300,000"
"3105 Avenue V APT 5C, Brooklyn, NY 11229",3,1,1000,0,0,"$275,000"
"1170 Ocean Pkwy APT 12D, Brooklyn, NY 11230",1,1,692,0,0,"$200,000"
"897 Empire Blvd #6B, Brooklyn, NY 11213",2,2,708,0,0,"$250,000"
"1165 E 54th St APT 6F, Brooklyn, NY 11234",2,1,0,0,0,"$265,000"
"10 43 #1G, Brooklyn, NY 11203",2,1,0,0,0,"$295,000"
"9801 Shore Rd APT AA, Brooklyn, NY 11209",1,1,700,0,0,"$295,000"
"2565 Flatbush Ave #C-1, Brooklyn, NY 11234",2,2,1200,0,0,"$239,000"
"270 Jay St APT 7B, Brooklyn, NY 11201",0,1,420,0,0,"$250,000"
"300 8th Ave APT 3I, Brooklyn, NY 11215",0,1,0,0,0,"$235,000"
"2212 Brigham St APT 3C, Brooklyn, NY 11229",3,1,1100,0,0,"$215,000"
"10-43 Two #G, Brooklyn, NY 11218",2,1,0,0,0,"$285,000"
"7002 Ridge Blvd APT A8, Brooklyn, NY 11209",2,1,650,0,0,"$299,000"
"733 Grand St #2F, Brooklyn, NY 11211",1,1,0,0,0,"$299,000"
"2711 Avenue X APT 5F, Brooklyn, NY 11235",2,1,1000,0,0,"$280,000"
"345 Bay Ridge Pkwy APT 2K, Brooklyn, NY 11209",1,1,550,0,0,"$279,000"
"2600 E 21st St APT 1B, Brooklyn, NY 11235",1,1,800,0,0,"$279,000"
"2285 Bragg St APT 5F, Brooklyn, NY 11229",3,1,1100,0,0,"$230,000"
"9961 Shore Rd APT 5D, Brooklyn, NY 11209",1,1,496,0,0,"$285,000"
"300 8th Ave APT 4G, Brooklyn, NY 11215",0,1,0,0,0,"$245,000"
"2555 E 12th St APT 5P, Brooklyn, NY 11235",2,2,793,0,0,"$245,000"
"2251 Plumb #1-6F, Brooklyn, NY 11229",2,1,904,0,0,"$220,000"
"17 Pennsylvania Ave APT 21, Brooklyn, NY 11207",3,1,0,0,0,"$230,000"
"1730 E 14th St APT 3A, Brooklyn, NY 11229",1,1,550,0,0,"$239,000"
"1075 Ocean Pkwy APT 3C, Brooklyn, NY 11230",3,1,1350,0,0,"$299,999"
"2171 Bragg St APT 4F, Brooklyn, NY 11229",3,2,1110,0,0,"$299,000"
"9524 Fort Hamilton Pkwy APT 102, Brooklyn, NY 11209",1,1,1000,0,0,"$219,000"
"510 Ocean Pkwy APT 4G, Brooklyn, NY 11218",1,1,0,0,0,"$215,000"
"2020 E 41st St #3H, Brooklyn, NY 11203",1,1,0,0,0,"$215,000"
"1165 E 54th St #E3, Brooklyn, NY 11234",3,2,0,0,0,"$295,000"
"1091 Bushwick Ave APT 1B, Brooklyn, NY 11221",1,1,617,0,0,"$225,000"
"50 Kenilworth Pl APT 6G, Brooklyn, NY 11210",1,1,0,0,0,"$220,000"
"775 Lafayette Ave APT 14A, Brooklyn, NY 11221",1,1,600,0,0,"$289,900"
"1551 Park Pl APT 1D, Brooklyn, NY 11213",2,1,1000,0,0,"$250,000"
