Address,Beds,Baths,Area,Construction,Parking,Price
"15 Jones St APT 1B, New York, NY 10014",1,1,0,0,0,"$599,000"
"55 E 9th St APT 8C, New York, NY 10003",0,1,0,0,0,"$579,000"
"160 W End Ave APT 8G, New York, NY 10023",0,1,0,0,0,"$500,000"
"411 E 85th St, New York, NY 10028",2,1,950,0,0,"$589,000"
"207 E 21st St APT 5B, New York, NY 10010",1,1,0,0,0,"$550,000"
"403 E 62nd St APT 4D, New York, NY 10065",0,1,488,0,0,"$585,000"
"230 E 71st St APT 2A, Manhattan, NY 10021",1,1,650,0,0,"$549,000"
"321 E 43rd St APT 114, New York, NY 10017",1,1,0,0,0,"$549,000"
"817 W End Ave APT 3CC, New York, NY 10025",1,1,565,0,0,"$595,000"
"159 Madison Ave APT 12D, New York, NY 10016",1,1,0,0,0,"$599,000"
"150 E 37th St PENTHOUSE A, New York, NY 10016",0,1,0,0,0,"$510,000"
"308 E 73rd St APT 3B, New York, NY 10021",1,1,0,0,0,"$500,000"
"210 E 73rd St #5F, New York, NY 10021",0,1,0,0,0,"$545,000"
"520 E 90th St APT 3E, New York, NY 10128",1,1,600,0,0,"$550,000"
"280 Rector Pl APT 5O, New York, NY 10280",1,1,631,0,0,"$545,000"
"415 E 85th St #12, New York, NY 10028",1,1,760,0,0,"$575,000"
"333 E 55th St APT 8J, New York, NY 10022",1,1,0,0,0,"$599,000"
"7 Park Ave APT 11F, New York, NY 10016",0,1,0,0,0,"$500,000"
"531 Main St #410, New York, NY 10044",1,2,0,0,0,"$599,000"
"70 Park Ter W APT E22, New York, NY 10034",2,1,950,0,0,"$599,000"
"150 Nassau St APT 6J, New York, NY 10038",0,1,331,0,0,"$549,000"
"157 Broome St APT 4D, New York, NY 10002",2,1,741,0,0,"$549,000"
"94 Hamilton Pl #A4, New York, NY 10031",3,1,0,0,0,"$595,000"
"240 E 35th St APT 9B, New York, NY 10016",1,1,0,0,0,"$525,000"
"501 W 122nd St APT E1, New York, NY 10027",2,1,700,0,0,"$575,000"
"475 Franklin D Roosevelt Dr APT L804, New York, NY 10002",1,1,800,0,0,"$535,000"
"166 E 92nd St APT 4E, New York, NY 10128",1,1,700,0,0,"$510,000"
"266 Broadway #405B, New York, NY 10002",1,1,0,0,0,"$599,000"
"303 E 57th St APT 32C, New York, NY 10022",1,2,1100,0,0,"$600,000"
"309 E 87th St APT 3L, New York, NY 10128",0,1,0,0,0,"$525,000"
"316 W 82nd St #1F, New York, NY 10024",1,1,685,0,0,"$595,000"
"280 Rector Pl APT 6D, New York, NY 10280",1,1,625,0,0,"$575,000"
"18 W 70th St APT 5G, New York, NY 10023",0,1,0,0,0,"$599,000"
"100 W 15th St APT 3A, New York, NY 10011",0,1,0,0,0,"$535,000"
"321 E 54th St APT 2A, New York, NY 10022",0,1,0,0,0,"$520,000"
"77 Perry St APT 4B, New York, NY 10014",0,1,0,0,0,"$595,000"
"116 W 72nd St APT 10B, New York, NY 10023",0,1,400,0,0,"$550,000"
"100 W 12th St APT 6A, New York, NY 10011",0,1,0,0,0,"$525,000"
"52 Riverside Dr APT 1A, New York, NY 10024",1,1,0,0,0,"$525,000"
"400 E 56th St APT 12A, New York, NY 10022",1,1,561,0,0,"$569,000"
