Address,Beds,Baths,Area,Construction,Parking,Price
"22-12 119th St, College Pt, NY 11356",2,1,0,0,0,"$139,000"
"234-28 131st Ave #1, Rosedale, NY 11422",1,1,0,0,0,"$175,000"
"102-18 64th Ave APT 5T, Forest Hills, NY 11375",0,1,600,0,0,"$169,000"
"112-30 197th St, Saint Albans, NY 11412",3,2,1224,0,0,"$175,000"
"23-35 Bell Blvd #2K, Bayside, NY 11360",1,1,0,0,0,"$199,000"
"21-47 33rd St APT 1G, Astoria, NY 11105",1,1,0,0,0,"$199,998"
"163-58 17th Ave #1, Whitestone, NY 11357",1,1,0,0,0,"$198,000"
"113-15 34th Ave #5G, Corona, NY 11368",2,1,0,0,0,"$150,000"
"234-34 133rd Ave #1, Rosedale, NY 11422",1,1,700,0,0,"$169,000"
"37-21 80th St APT 6L, Jackson Heights, NY 11372",0,1,0,0,0,"$175,000"
"84-70 129th St, Kew Gardens, NY 11415",1,1,0,0,0,"$179,000"
"151-31 88th St #6H, Howard Beach, NY 11414",2,1,0,0,0,"$189,900"
"66-34 108th St #1C, Forest Hills, NY 11375",0,1,0,0,0,"$189,000"
"69-09 108th St APT 109, Forest Hills, NY 11375",0,1,500,0,0,"$164,000"
"88-12 151st Ave APT 2M, Howard Beach, NY 11414",1,1,0,0,0,"$160,000"
"83-75 Woodhaven Blvd #5H, Woodhaven, NY 11421",1,1,0,0,0,"$165,000"
"112-30 Northern Blvd APT 2E, Corona, NY 11368",1,1,700,0,0,"$100,000"
"76-26 113th St #1H, Forest Hills, NY 11375",0,1,500,0,0,"$178,000"
"251-02 58th Ave #2, Little Neck, NY 11362",1,1,0,0,0,"$179,000"
"83-75 118th St APT 4B, Kew Gardens, NY 11415",0,1,0,0,0,"$155,000"
"89-35 155th Ave #6E, Howard Beach, NY 11414",2,1,962,0,0,"$199,999"
"202-35 Foothill Ave #B-52, Hollis, NY 11423",1,1,0,0,0,"$199,000"
"113-15 34th Ave APT 6A, Corona, NY 11368",1,1,575,0,0,"$139,900"
"58-03 Calloway St #6AA, Corona, NY 11368",1,1,0,0,0,"$179,000"
"170-06 88th Ave #2J, Jamaica, NY 11432",0,1,0,0,0,"$160,000"
"83-55 Lefferts Blvd #3E, Kew Gardens, NY 11415",1,1,700,0,0,"$169,000"
"10206 163rd Rd, Jamaica, NY 11414",1,0,912,0,0,"$199,000"
"224-02 Manor Rd, Queens Village, NY 11427",1,1,670,0,0,"$199,000"
"89-40 151st Ave #1F, Howard Beach, NY 11414",1,1,925,0,0,"$189,000"
"170-40 Highland Ave #607, Jamaica, NY 11432",1,1,889,0,0,"$175,000"
"112-24 Northern Blvd #1H, Corona, NY 11368",2,1,1000,0,0,"$160,000"
"72-61 113th St #3B, Forest Hills, NY 11375",0,1,0,0,0,"$178,000"
"54-44 Little Neck Pkwy, Little Neck, NY 11362",1,1,0,0,0,"$199,999"
"172-70 Highland Ave #3G, Jamaica, NY 11432",0,1,0,0,0,"$100,000"
"33-04 91st St #6M, Jackson Heights, NY 11372",1,1,0,0,0,"$179,000"
"84-10 153rd Ave APT 3N, Howard Beach, NY 11414",0,1,0,0,0,"$115,000"
"89-00 170th St #7E, Jamaica, NY 11432",0,1,0,0,0,"$114,000"
"112-50 Northern Blvd #6B, Corona, NY 11368",2,1,1100,0,0,"$175,000"
"Beach 45th St, Far Rockaway, NY 11691",0,0,0,0,0,"$120,000"
"54-40 Little Neck Pkwy #1O, Little Neck, NY 11362",1,1,0,0,0,"$183,000"
