Address,Beds,Baths,Area,Construction,Parking,Price
"161 Holly Ave, Staten Island, NY 10308",6,4,2392,0,0,"$899,000"
"26 Morris St, Staten Island, NY 10309",4,4,2000,0,0,"$875,000"
"38 Wild Ave, Staten Island, NY 10314",6,5,2186,0,0,"$899,999"
"32 Otis Ave, Staten Island, NY 10306",3,2,2000,0,0,"$824,999"
"486 Medina St, Staten Island, NY 10306",3,3,1800,0,0,"$838,888"
"645 Ionia Ave, Staten Island, NY 10312",3,2,1710,0,0,"$849,000"
"10 Dahlia St, Staten Island, NY 10312",6,2,1307,0,0,"$850,000"
"175 Buffalo St, Staten Island, NY 10306",4,4,2264,0,0,"$899,000"
"85 Laredo Ave, Staten Island, NY 10312",3,3,2272,0,0,"$895,000"
"306 Sleight Ave, Staten Island, NY 10307",4,2,1692,0,0,"$899,000"
"98A Sinclair Ave, Staten Island, NY 10312",3,4,2128,0,0,"$899,999"
"50 Raritan Ave, Staten Island, NY 10304",4,5,2323,0,0,"$858,000"
"61 El Camino Loop, Staten Island, NY 10309",3,3,1978,0,0,"$850,000"
"47 Wheeler Ave, Staten Island, NY 10314",5,3,2578,0,0,"$835,000"
"9 Hewitt Ave, Staten Island, NY 10301",5,4,2302,0,0,"$899,999"
"335 Edgegrove Ave, Staten Island, NY 10312",5,3,4389,0,0,"$899,000"
"444 Stafford Ave, Staten Island, NY 10312",5,4,3000,0,0,"$868,000"
"108 Bayview Ave, Staten Island, NY 10309",3,2,1764,0,0,"$889,000"
"18 Ellsworth Ave, Staten Island, NY 10312",4,2,2660,0,0,"$829,500"
"238 Yetman Ave, Staten Island, NY 10307",4,4,3780,0,0,"$890,999"
"147 Steuben St, Staten Island, NY 10304",3,3,2108,0,0,"$880,000"
"344 Rose Ave, Staten Island, NY 10306",4,3,1321,0,0,"$829,900"
"32 Devon Pl, Staten Island, NY 10301",4,3,2028,0,0,"$850,000"
"285 Adelaide Ave, Staten Island, NY 10306",3,3,3300,0,0,"$899,999"
"37 Minna St, Staten Island, NY 10304",4,2,1872,0,0,"$819,000"
"37 Pond St, Staten Island, NY 10309",3,3,1708,0,0,"$879,000"
"634 Jewett Ave, Staten Island, NY 10314",5,2,1344,0,0,"$899,000"
"422 London Rd, Staten Island, NY 10306",3,3,1560,0,0,"$885,000"
"65 Mountainview Ave, Staten Island, NY 10314",5,3,2160,0,0,"$889,888"
"379 Mosley Ave, Staten Island, NY 10312",3,3,2550,0,0,"$848,000"
"353 Yetman Ave, Staten Island, NY 10307",3,4,2100,0,0,"$888,000"
"11 Hunton St, Staten Island, NY 10304",3,3,2350,0,0,"$889,900"
"18 Chianti Ct, Staten Island, NY 10304",4,4,2100,0,0,"$828,000"
"206 Ramapo Ave, Staten Island, NY 10309",5,3,2160,0,0,"$899,999"
"4969 Amboy Rd, Staten Island, NY 10312",3,2,1040,0,0,"$845,000"
"37 Reno Ave, Staten Island, NY 10306",5,4,1920,0,0,"$899,000"
"501 Oak Ave, Staten Island, NY 10306",5,3,2600,0,0,"$889,000"
"11 Dellwood Rd, Staten Island, NY 10304",3,3,1564,0,0,"$899,000"
"82 Piedmont Ave, Staten Island, NY 10305",3,4,2314,0,0,"$850,000"
"40 Culotta Ln, Staten Island, NY 10309",4,4,2599,0,0,"$899,000"
