Address,Beds,Baths,Area,Construction,Parking,Price
"100 W 57th St APT 6P, New York, NY 10019",0,1,575,0,0,125000
"3603 Broadway APT 3B, New York, NY 10031",1,1,0,0,0,151672
"100 W 57th St APT 16K, New York, NY 10019",0,1,580,0,0,195000
"100 W 57th St #19M, New York, NY 10019",0,1,450,0,0,109000
"526 W 158th St #55, New York, NY 10032",2,1,600,0,0,125000
"678 Saint Nicholas Ave APT 32, New York, NY 10030",1,1,0,0,0,175000
"100 W 57th St APT 5R, New York, NY 10019",1,1,900,0,0,173000
"56 W 119th St APT 5H, New York, NY 10026",0,1,0,0,0,125000
"1993 Amsterdam Ave APT 64, New York, NY 10032",2,1,700,0,0,199000
"407 E 87th St APT 1A, New York, NY 10128",0,1,0,0,0,275000
"208 W 119th St APT 1H, New York, NY 10026",0,1,0,0,0,225000
"522 E 88th St APT 1D, New York, NY 10128",0,1,0,0,0,239900
"676 Saint Nicholas Ave APT 53, New York, NY 10030",2,1,0,0,0,295000
"94 Hamilton Pl #6C, New York, NY 10031",1,1,0,0,0,280000
"585 W 214th St APT 1A, New York, NY 10034",0,1,0,0,0,250000
"80 St Nicholas Ave APT 5A, New York, NY 10026",0,1,0,0,0,274999
"5 Tudor City Pl APT 1910, New York, NY 10017",0,1,0,0,0,275000
"258 W 117th St #33W, New York, NY 10026",1,1,0,0,0,300000
"522 E 88th St APT 1A, New York, NY 10128",0,1,0,0,0,239900
"235 E 54th St APT 1A, New York, NY 10022",0,1,0,0,0,299000
"230 W 105th St APT 14F, New York, NY 10025",1,1,720,0,0,250000
"30 Macombs Pl APT 42, New York, NY 10039",1,1,600,0,0,215000
"25 Tudor City Pl APT 716, New York, NY 10017",0,1,300,0,0,279000
"333 E 85th St APT 1A, New York, NY 10028",0,1,24864,0,0,239000
"219 W 144th St APT 41, New York, NY 10030",1,1,375,0,0,210000
"252 E 89th St APT 4C, New York, NY 10128",0,1,0,0,0,279000
"129 E 102nd St APT 4F, New York, NY 10029",1,1,0,0,0,215000
"25 Tudor City Pl APT 714, New York, NY 10017",0,1,300,0,0,279000
"214 Bradhurst Ave APT 1, New York, NY 10039",1,1,0,0,0,299999
"2440 Amsterdam Ave APT 4E, New York, NY 10033",1,1,630,0,0,249000
"303 E 57th St APT 7E, New York, NY 10022",1,2,0,0,0,299000
"519 E 87th St APT 4A, New York, NY 10128",0,1,0,0,0,260000
"558 W 148th St #2A, New York, NY 10031",1,1,0,0,0,285000
"36 Convent Ave #18, New York, NY 10027",2,1,700,0,0,220000
"136 E 36th St APT 10E, New York, NY 10016",0,1,0,0,0,300000
"103 E 84th St FRONT 1D, New York, NY 10028",0,1,0,0,0,275000
"522 W 152nd St #A4, New York, NY 10031",1,1,0,0,0,299000
"353 W 56th St APT 3J, New York, NY 10019",0,1,575,0,0,295000
"420 W 146th St APT 11, New York, NY 10031",3,1,0,0,0,299000
"335 E 85th St APT 1B, New York, NY 10028",0,1,0,0,0,288000
"415 E 82nd St APT 5B, New York, NY 10028",0,1,0,0,0,299000
"70 Park Ter E APT 3A, New York, NY 10034",0,1,0,0,0,235000
"123 E 102nd St APT 5E, New York, NY 10029",0,1,300,0,0,269000
"251 Seaman Ave APT 1J, New York, NY 10034",0,1,425,0,0,275000
"25 Tudor City Pl APT 1522, New York, NY 10017",0,1,0,0,0,269000
"25 Tudor City Pl APT 1207, New York, NY 10017",0,1,300,0,0,295000
"90 Park Ter E APT 3B, New York, NY 10034",0,1,425,0,0,299000
"2090 Madison Ave APT 5-C, New York, NY 10037",2,1,0,0,0,269000
"319 E 50th St APT 8F, New York, NY 10022",0,1,0,0,0,390000
"110 E 36th St APT 4B, New York, NY 10016",0,1,0,0,0,395000
"245 E 24th St APT 2H, New York, NY 10010",0,1,0,0,0,399987
"301 E 22nd St APT 14G, New York, NY 10010",0,1,0,0,0,335000
"5 Tudor City Pl APT 317, New York, NY 10017",0,1,275,0,0,339900
"214 Bradhurst Ave APT 14, New York, NY 10039",1,1,490,0,0,387500
"153 E 57th St APT 5E, New York, NY 10022",0,1,500,0,0,395000
"535 W 163rd St #6, New York, NY 10032",2,1,0,0,0,320000
"433 W 34th St APT 3F, New York, NY 10001",0,1,250,0,0,378000
"99 Avenue B APT 5D, New York, NY 10009",0,1,0,0,0,395000
"225 E 4th St #11, New York, NY 10009",1,1,0,0,0,399000
"345 E 69th St APT 5D, New York, NY 10021",0,1,0,0,0,399000
"405 E 63rd St APT 9B, New York, NY 10065",0,1,0,0,0,400000
"319 W 18th St APT 5G, New York, NY 10011",0,1,0,0,0,399000
"12 E 132nd St APT 4A, New York, NY 10037",3,2,0,0,0,360000
"655 Riverside Drive #1A, New York, NY 10031",2,1,1000,0,0,399000
"870 W 181st St #A2, New York, NY 10033",1,1,0,0,0,375000
"418 E 83rd St PENTHOUSE D, New York, NY 10028",0,1,0,0,0,360000
"25 Tudor City Pl APT 2001, New York, NY 10017",0,1,0,0,0,335000
"222 E 35th St APT 5D, New York, NY 10016",0,1,0,0,0,399000
"203 W 87th St APT 44, New York, NY 10024",0,1,0,0,0,365000
"258 W 117th St #33W, New York, NY 10026",1,1,0,0,0,300000
"310 E 49th St APT 8J, New York, NY 10017",0,1,0,0,0,349000
"50 E 8th St APT 3R, New York, NY 10003",0,1,0,0,0,400000
"349 E 49th St APT 2V, New York, NY 10017",0,1,0,0,0,365000
"303 E 37th St APT 2G, New York, NY 10016",0,1,550,0,0,389000
"519 E 87th St APT 4C, New York, NY 10128",1,1,0,0,0,325000
"140 W 69th St #5A, New York, NY 10023",0,1,0,0,0,375000
"330 E 83rd St APT 2G, New York, NY 10028",0,1,0,0,0,399000
"166 E 35th St APT 3A, New York, NY 10016",0,1,0,0,0,390000
"512 E 83rd St APT 2B, New York, NY 10028",0,1,400,0,0,349900
"339 E 58th St APT 5B, New York, NY 10022",0,1,450,0,0,310000
"210 E 36th St APT 3D, New York, NY 10016",0,1,0,0,0,389000
"95 Park Ter E APT 4E, New York, NY 10034",1,1,0,0,0,389000
"3692 Broadway APT 62, New York, NY 10031",2,1,0,0,0,395000
"200 E End Ave APT 1K, New York, NY 10128",0,1,0,0,0,335000
"457 W 57th St #1116, New York, NY 10019",0,1,400,0,0,379000
"330 E 94th St APT 4B, New York, NY 10128",1,1,475,0,0,389000
"235 W 102nd St APT 3U, New York, NY 10025",0,1,0,0,0,339000
"160 W End Ave APT 8G, New York, NY 10023",0,1,0,0,0,500000
"61 E 77th St APT 8E, New York, NY 10075",0,1,0,0,0,499000
"515 Edgecombe Ave APT 43, New York, NY 10032",1,1,550,0,0,400000
"150 Central Park S #1108, New York, NY 10019",0,1,484,0,0,475000
"304 W 10th St APT 2-A, New York, NY 10014",0,1,0,0,0,489000
"335 E 51st St APT 9G, New York, NY 10022",0,1,430,0,0,485000
"308 E 73rd St APT 3B, New York, NY 10021",1,1,0,0,0,500000
"102 W 80th St APT 85, New York, NY 10024",0,1,380,0,0,430000
"110 E 57th St APT 6B, New York, NY 10022",0,1,0,0,0,450000
"240 E 35th St APT 1J, New York, NY 10016",1,1,0,0,0,425000
"461 W 44th St APT 6B, New York, NY 10036",0,1,400,0,0,439000
"136 E 56th St APT 7K, New York, NY 10022",0,1,0,0,0,449000
"127 W 112th St #1B, New York, NY 10026",0,1,472,0,0,499000
"235 E 40th St APT 21I, New York, NY 10016",0,1,405,0,0,495000
"566 W 159th St APT 41, New York, NY 10032",2,1,900,0,0,475000
"3 Hanover Sq APT 4A, New York, NY 10004",0,1,575,0,0,425000
"360 Riverside Dr APT 2D, New York, NY 10025",1,1,500,0,0,499000
"7 Park Ave APT 11F, New York, NY 10016",0,1,0,0,0,500000
"225 E 36th St APT 15B, New York, NY 10016",0,1,0,0,0,465000
"405 E 63rd St APT 9B, New York, NY 10065",0,1,0,0,0,400000
"150 E 61st St APT 3B, New York, NY 10065",0,1,575,0,0,426000
"130 Water St APT 3D, New York, NY 10005",0,1,0,0,0,499000
"17 W 108th St APT 88, New York, NY 10025",2,1,0,0,0,495000
"512 E 82nd St #3D, New York, NY 10028",1,1,0,0,0,425000
"35 Park Ave APT 10E, New York, NY 10016",0,1,0,0,0,499000
"50 E 1st St #1, New York, NY 10003",1,1,350,0,0,499000
"712 W 175th St APT 4B, New York, NY 10033",2,1,0,0,0,435000
"222 E 35th St APT 5C, New York, NY 10016",1,1,800,0,0,499999
"177 E 93rd St APT 2C, New York, NY 10128",1,1,700,0,0,499000
"325 W 45th St #703, New York, NY 10036",0,1,400,0,0,480000
"25 Tudor City Pl APT 1720, New York, NY 10017",1,1,600,0,0,475000
"201 W 21st St APT 5E, New York, NY 10011",0,1,0,0,0,445000
"625 E 6th St APT 5, New York, NY 10009",0,1,600,0,0,499000
"127 W 96th St APT 12G, New York, NY 10025",0,1,0,0,0,425000
"57 Park Ter W APT 5H, New York, NY 10034",1,1,800,0,0,429000
"420 E 51st St APT 10C, New York, NY 10022",2,2,1200,0,0,410000
"181 E 101st St #204, New York, NY 10029",0,1,429,0,0,480000
"930 Saint Nicholas Ave APT 63, New York, NY 10032",2,1,0,0,0,475000
"502 W 141st St APT 2B, New York, NY 10031",2,1,0,0,0,425000
"330 E 49th St APT 8G, New York, NY 10017",0,1,446,0,0,475000
"15 Jones St APT 1B, New York, NY 10014",1,1,0,0,0,599000
"55 E 9th St APT 8C, New York, NY 10003",0,1,0,0,0,579000
"160 W End Ave APT 8G, New York, NY 10023",0,1,0,0,0,500000
"411 E 85th St, New York, NY 10028",2,1,950,0,0,589000
"207 E 21st St APT 5B, New York, NY 10010",1,1,0,0,0,550000
"403 E 62nd St APT 4D, New York, NY 10065",0,1,488,0,0,585000
"230 E 71st St APT 2A, Manhattan, NY 10021",1,1,650,0,0,549000
"321 E 43rd St APT 114, New York, NY 10017",1,1,0,0,0,549000
"817 W End Ave APT 3CC, New York, NY 10025",1,1,565,0,0,595000
"159 Madison Ave APT 12D, New York, NY 10016",1,1,0,0,0,599000
"150 E 37th St PENTHOUSE A, New York, NY 10016",0,1,0,0,0,510000
"308 E 73rd St APT 3B, New York, NY 10021",1,1,0,0,0,500000
"210 E 73rd St #5F, New York, NY 10021",0,1,0,0,0,545000
"520 E 90th St APT 3E, New York, NY 10128",1,1,600,0,0,550000
"280 Rector Pl APT 5O, New York, NY 10280",1,1,631,0,0,545000
"415 E 85th St #12, New York, NY 10028",1,1,760,0,0,575000
"333 E 55th St APT 8J, New York, NY 10022",1,1,0,0,0,599000
"7 Park Ave APT 11F, New York, NY 10016",0,1,0,0,0,500000
"531 Main St #410, New York, NY 10044",1,2,0,0,0,599000
"70 Park Ter W APT E22, New York, NY 10034",2,1,950,0,0,599000
"150 Nassau St APT 6J, New York, NY 10038",0,1,331,0,0,549000
"157 Broome St APT 4D, New York, NY 10002",2,1,741,0,0,549000
"94 Hamilton Pl #A4, New York, NY 10031",3,1,0,0,0,595000
"240 E 35th St APT 9B, New York, NY 10016",1,1,0,0,0,525000
"501 W 122nd St APT E1, New York, NY 10027",2,1,700,0,0,575000
"475 Franklin D Roosevelt Dr APT L804, New York, NY 10002",1,1,800,0,0,535000
"166 E 92nd St APT 4E, New York, NY 10128",1,1,700,0,0,510000
"266 Broadway #405B, New York, NY 10002",1,1,0,0,0,599000
"303 E 57th St APT 32C, New York, NY 10022",1,2,1100,0,0,600000
"309 E 87th St APT 3L, New York, NY 10128",0,1,0,0,0,525000
"316 W 82nd St #1F, New York, NY 10024",1,1,685,0,0,595000
"280 Rector Pl APT 6D, New York, NY 10280",1,1,625,0,0,575000
"18 W 70th St APT 5G, New York, NY 10023",0,1,0,0,0,599000
"100 W 15th St APT 3A, New York, NY 10011",0,1,0,0,0,535000
"321 E 54th St APT 2A, New York, NY 10022",0,1,0,0,0,520000
"77 Perry St APT 4B, New York, NY 10014",0,1,0,0,0,595000
"116 W 72nd St APT 10B, New York, NY 10023",0,1,400,0,0,550000
"100 W 12th St APT 6A, New York, NY 10011",0,1,0,0,0,525000
"52 Riverside Dr APT 1A, New York, NY 10024",1,1,0,0,0,525000
"400 E 56th St APT 12A, New York, NY 10022",1,1,561,0,0,569000
"55 E 9th St APT 6B, New York, NY 10003",0,1,0,0,0,625000
"210 E 15th St #3LL, New York, NY 10003",1,1,0,0,0,700000
"23 E 10th St APT 5H, New York, NY 10003",1,1,0,0,0,650000
"664 W 161st St #4A, New York, NY 10032",3,2,0,0,0,655000
"80 St Nicholas Ave #7G, New York, NY 10026",3,1,1100,0,0,659000
"330 3rd Ave APT 7H, New York, NY 10010",1,1,0,0,0,625000
"29 W 119th St APT 3, New York, NY 10026",3,1,1000,0,0,685000
"250 E 54th St APT 16B, New York, NY 10022",0,1,400,0,0,625000
"100 W 12th St APT 4N, New York, NY 10011",0,1,670,0,0,675000
"233 E 69th St APT 2A, New York, NY 10021",1,1,0,0,0,675000
"142 Edgecombe Ave #2A, New York, NY 10030",2,1,740,0,0,700000
"42 W 120th St APT 3B, New York, NY 10027",1,1,620,0,0,610000
"32 Gramercy Park S APT 7E, New York, NY 10003",0,1,0,0,0,635000
"400 E 54th St APT 27D, New York, NY 10022",1,1,622,0,0,675000
"20 West St APT 31E, New York, NY 10004",0,1,598,0,0,645000
"405 W 23rd St APT 2L, New York, NY 10011",0,1,550,0,0,625000
"11 E 87th St APT 2H, New York, NY 10128",1,1,0,0,0,625000
"25 Tudor City Pl APT 1704, New York, NY 10017",1,1,0,0,0,625000
"77 Fulton St APT 21A, New York, NY 10038",0,1,0,0,0,609000
"181 E 101st St PENTHOUSE 7, New York, NY 10029",0,1,418,0,0,695000
"205 E 78th St APT 5C, New York, NY 10075",1,1,0,0,0,649000
"88 Greenwich St APT 1108, New York, NY 10006",0,1,563,0,0,650000
"175 W 13th St APT 5H, New York, NY 10011",0,1,385,0,0,649000
"310 W 106th St #9C, New York, NY 10025",1,1,0,0,0,695000
"166 E 63rd St APT 15H, New York, NY 10065",0,1,528,0,0,689000
"161 E 110th St #6C, New York, NY 10029",1,1,648,0,0,629000
"417 Grand St APT 1501, New York, NY 10002",1,1,0,0,0,695000
"639 W End Ave #1C, New York, NY 10025",1,1,750,0,0,655000
"137 E 36th St #18D, New York, NY 10016",1,1,650,0,0,660000
"160 Bleecker St APT 2AE, New York, NY 10012",1,1,0,0,0,650000
