Address,Beds,Baths,Area,Construction,Parking,Price,Latitude,Longitude
"100 W 57th St APT 6P, New York, NY 10019",0,1,575,0,0,125000,40.7642381,-73.9775292
"3603 Broadway APT 3B, New York, NY 10031",1,1,0,0,0,151672,40.8286957,-73.9492659
"100 W 57th St APT 16K, New York, NY 10019",0,1,580,0,0,195000,40.7642381,-73.9775292
"100 W 57th St #19M, New York, NY 10019",0,1,450,0,0,109000,40.7642381,-73.9775292
"526 W 158th St #55, New York, NY 10032",2,1,600,0,0,125000,40.8339316,-73.9432301
"678 Saint Nicholas Ave APT 32, New York, NY 10030",1,1,0,0,0,175000,40.8232523,-73.9447951
"100 W 57th St APT 5R, New York, NY 10019",1,1,900,0,0,173000,40.7642381,-73.9775292
"56 W 119th St APT 5H, New York, NY 10026",0,1,0,0,0,125000,40.8032445,-73.9471863
"1993 Amsterdam Ave APT 64, New York, NY 10032",2,1,700,0,0,199000,40.8337728,-73.9410168
"407 E 87th St APT 1A, New York, NY 10128",0,1,0,0,0,275000,40.7774476,-73.9481582
"208 W 119th St APT 1H, New York, NY 10026",0,1,0,0,0,225000,40.8054066,-73.9522081
"522 E 88th St APT 1D, New York, NY 10128",0,1,0,0,0,239900,40.7765477,-73.9450729
"676 Saint Nicholas Ave APT 53, New York, NY 10030",2,1,0,0,0,295000,40.8230885,-73.9448713
"94 Hamilton Pl #6C, New York, NY 10031",1,1,0,0,0,280000,40.8233183,-73.9504423
"585 W 214th St APT 1A, New York, NY 10034",0,1,0,0,0,250000,40.8718345,-73.9195193
"80 St Nicholas Ave APT 5A, New York, NY 10026",0,1,0,0,0,274999,40.800686,-73.952508
"5 Tudor City Pl APT 1910, New York, NY 10017",0,1,0,0,0,275000,40.7480424,-73.9710037
"258 W 117th St #33W, New York, NY 10026",1,1,0,0,0,300000,40.8043455,-73.953697
"522 E 88th St APT 1A, New York, NY 10128",0,1,0,0,0,239900,40.7765477,-73.9450729
"235 E 54th St APT 1A, New York, NY 10022",0,1,0,0,0,299000,40.7577738,-73.9671804
"230 W 105th St APT 14F, New York, NY 10025",1,1,720,0,0,250000,40.8002147,-73.9675401
"30 Macombs Pl APT 42, New York, NY 10039",1,1,600,0,0,215000,40.8260414,-73.9385874
"25 Tudor City Pl APT 716, New York, NY 10017",0,1,300,0,0,279000,40.7486361,-73.9705046
"333 E 85th St APT 1A, New York, NY 10028",0,1,24864,0,0,239000,40.776857,-73.9508845
"219 W 144th St APT 41, New York, NY 10030",1,1,375,0,0,210000,40.8216032,-73.9405309
"252 E 89th St APT 4C, New York, NY 10128",0,1,0,0,0,279000,40.7798375,-73.950873
"129 E 102nd St APT 4F, New York, NY 10029",1,1,0,0,0,215000,40.7898312,-73.9482267
"25 Tudor City Pl APT 714, New York, NY 10017",0,1,300,0,0,279000,40.7486361,-73.9705046
"214 Bradhurst Ave APT 1, New York, NY 10039",1,1,0,0,0,299999,40.8277778,-73.9393006
"2440 Amsterdam Ave APT 4E, New York, NY 10033",1,1,630,0,0,249000,40.8484656,-73.9308655
"303 E 57th St APT 7E, New York, NY 10022",1,2,0,0,0,299000,40.759561,-73.9645409
"519 E 87th St APT 4A, New York, NY 10128",0,1,0,0,0,260000,40.7762847,-73.9453668
"558 W 148th St #2A, New York, NY 10031",1,1,0,0,0,285000,40.827795,-73.947514
"36 Convent Ave #18, New York, NY 10027",2,1,700,0,0,220000,40.8142411,-73.9532272
"136 E 36th St APT 10E, New York, NY 10016",0,1,0,0,0,300000,40.7475049,-73.9786191
"103 E 84th St FRONT 1D, New York, NY 10028",0,1,0,0,0,275000,40.778894,-73.95807
"522 W 152nd St #A4, New York, NY 10031",1,1,0,0,0,299000,40.829854,-73.9449
"353 W 56th St APT 3J, New York, NY 10019",0,1,575,0,0,295000,40.7670554,-73.985531
"420 W 146th St APT 11, New York, NY 10031",3,1,0,0,0,299000,40.8249553,-73.9455104
"335 E 85th St APT 1B, New York, NY 10028",0,1,0,0,0,288000,40.7768047,-73.9508194
"415 E 82nd St APT 5B, New York, NY 10028",0,1,0,0,0,299000,40.7740519,-73.950222
"70 Park Ter E APT 3A, New York, NY 10034",0,1,0,0,0,235000,40.8705909,-73.9159651
"123 E 102nd St APT 5E, New York, NY 10029",0,1,300,0,0,269000,40.7900689,-73.9484449
"251 Seaman Ave APT 1J, New York, NY 10034",0,1,425,0,0,275000,40.8716798,-73.917929
"25 Tudor City Pl APT 1522, New York, NY 10017",0,1,0,0,0,269000,40.7486361,-73.9705046
"25 Tudor City Pl APT 1207, New York, NY 10017",0,1,300,0,0,295000,40.7486361,-73.9705046
"90 Park Ter E APT 3B, New York, NY 10034",0,1,425,0,0,299000,40.8709051,-73.915555
"2090 Madison Ave APT 5-C, New York, NY 10037",2,1,0,0,0,269000,40.8099701,-73.9378649
"319 E 50th St APT 8F, New York, NY 10022",0,1,0,0,0,390000,40.7546097,-73.9676331
"110 E 36th St APT 4B, New York, NY 10016",0,1,0,0,0,395000,40.7479223,-73.9798979
"245 E 24th St APT 2H, New York, NY 10010",0,1,0,0,0,399987,40.7387426,-73.9806516
"301 E 22nd St APT 14G, New York, NY 10010",0,1,0,0,0,335000,40.7371047,-73.9807935
"5 Tudor City Pl APT 317, New York, NY 10017",0,1,275,0,0,339900,40.7480424,-73.9710037
"214 Bradhurst Ave APT 14, New York, NY 10039",1,1,490,0,0,387500,40.8277778,-73.9393006
"153 E 57th St APT 5E, New York, NY 10022",0,1,500,0,0,395000,40.7606525,-73.9680205
"535 W 163rd St #6, New York, NY 10032",2,1,0,0,0,320000,40.8374393,-73.9408468
"433 W 34th St APT 3F, New York, NY 10001",0,1,250,0,0,378000,40.7542846,-73.9977693
"99 Avenue B APT 5D, New York, NY 10009",0,1,0,0,0,395000,40.7246516,-73.9813759
"225 E 4th St #11, New York, NY 10009",1,1,0,0,0,399000,40.7237269,-73.9830814
"345 E 69th St APT 5D, New York, NY 10021",0,1,0,0,0,399000,40.7660752,-73.9576325
"405 E 63rd St APT 9B, New York, NY 10065",0,1,0,0,0,400000,40.7619996,-73.9593783
"319 W 18th St APT 5G, New York, NY 10011",0,1,0,0,0,399000,40.7428687,-74.0016459
"12 E 132nd St APT 4A, New York, NY 10037",3,2,0,0,0,360000,40.8102642,-73.9383153
"655 Riverside Drive #1A, New York, NY 10031",2,1,1000,0,0,399000,40.8255876,-73.9530237
"870 W 181st St #A2, New York, NY 10033",1,1,0,0,0,375000,40.851397,-73.941284
"418 E 83rd St PENTHOUSE D, New York, NY 10028",0,1,0,0,0,360000,40.7743038,-73.9498382
"25 Tudor City Pl APT 2001, New York, NY 10017",0,1,0,0,0,335000,40.7486361,-73.9705046
"222 E 35th St APT 5D, New York, NY 10016",0,1,0,0,0,399000,40.7457679,-73.9766886
"203 W 87th St APT 44, New York, NY 10024",0,1,0,0,0,365000,40.7888181,-73.9749997
"258 W 117th St #33W, New York, NY 10026",1,1,0,0,0,300000,40.8043455,-73.953697
"310 E 49th St APT 8J, New York, NY 10017",0,1,0,0,0,349000,40.7537753,-73.9683422
"50 E 8th St APT 3R, New York, NY 10003",0,1,0,0,0,400000,40.7310566,-73.9937876
"349 E 49th St APT 2V, New York, NY 10017",0,1,0,0,0,365000,40.6476277,-74.0128126
"303 E 37th St APT 2G, New York, NY 10016",0,1,550,0,0,389000,40.7467468,-73.9739787
"519 E 87th St APT 4C, New York, NY 10128",1,1,0,0,0,325000,40.7762847,-73.9453668
"140 W 69th St #5A, New York, NY 10023",0,1,0,0,0,375000,40.776183,-73.981309
"330 E 83rd St APT 2G, New York, NY 10028",0,1,0,0,0,399000,40.7751388,-73.9517763
"166 E 35th St APT 3A, New York, NY 10016",0,1,0,0,0,390000,40.7464414,-73.9780127
"512 E 83rd St APT 2B, New York, NY 10028",0,1,400,0,0,349900,40.7734493,-73.9478595
"339 E 58th St APT 5B, New York, NY 10022",0,1,450,0,0,310000,40.7595139,-73.9631477
"210 E 36th St APT 3D, New York, NY 10016",0,1,0,0,0,389000,40.746539,-73.9766511
"95 Park Ter E APT 4E, New York, NY 10034",1,1,0,0,0,389000,40.871296,-73.9157763
"3692 Broadway APT 62, New York, NY 10031",2,1,0,0,0,395000,40.8310513,-73.9466322
"200 E End Ave APT 1K, New York, NY 10128",0,1,0,0,0,335000,40.777016,-73.943393
"457 W 57th St #1116, New York, NY 10019",0,1,400,0,0,379000,40.7689702,-73.9875509
"330 E 94th St APT 4B, New York, NY 10128",1,1,475,0,0,389000,40.7821367,-73.9466175
"235 W 102nd St APT 3U, New York, NY 10025",0,1,0,0,0,339000,40.7987533,-73.9694136
"160 W End Ave APT 8G, New York, NY 10023",0,1,0,0,0,500000,40.7761323,-73.9849173
"61 E 77th St APT 8E, New York, NY 10075",0,1,0,0,0,499000,40.7748742,-73.9622063
"515 Edgecombe Ave APT 43, New York, NY 10032",1,1,550,0,0,400000,40.8325571,-73.9399183
"150 Central Park S #1108, New York, NY 10019",0,1,484,0,0,475000,40.766222,-73.977368
"304 W 10th St APT 2-A, New York, NY 10014",0,1,0,0,0,489000,40.7331512,-74.009634
"335 E 51st St APT 9G, New York, NY 10022",0,1,430,0,0,485000,40.7550827,-73.9665627
"308 E 73rd St APT 3B, New York, NY 10021",1,1,0,0,0,500000,40.7690528,-73.9573242
"102 W 80th St APT 85, New York, NY 10024",0,1,380,0,0,430000,40.7826431,-73.9755719
"110 E 57th St APT 6B, New York, NY 10022",0,1,0,0,0,450000,40.7610677,-73.9702354
"240 E 35th St APT 1J, New York, NY 10016",1,1,0,0,0,425000,40.7455479,-73.9761845
"461 W 44th St APT 6B, New York, NY 10036",0,1,400,0,0,439000,40.7609225,-73.9941209
"136 E 56th St APT 7K, New York, NY 10022",0,1,0,0,0,449000,40.7606018,-73.9704518
"127 W 112th St #1B, New York, NY 10026",0,1,472,0,0,499000,40.79995,-73.952499
"235 E 40th St APT 21I, New York, NY 10016",0,1,405,0,0,495000,40.6538871,-74.0095879
"566 W 159th St APT 41, New York, NY 10032",2,1,900,0,0,475000,40.8348017,-73.9433023
"3 Hanover Sq APT 4A, New York, NY 10004",0,1,575,0,0,425000,40.7050665,-74.0098062
"360 Riverside Dr APT 2D, New York, NY 10025",1,1,500,0,0,499000,40.8023752,-73.9702115
"7 Park Ave APT 11F, New York, NY 10016",0,1,0,0,0,500000,40.7471448,-73.9808403
"225 E 36th St APT 15B, New York, NY 10016",0,1,0,0,0,465000,40.7466802,-73.9757942
"405 E 63rd St APT 9B, New York, NY 10065",0,1,0,0,0,400000,40.7619996,-73.9593783
"150 E 61st St APT 3B, New York, NY 10065",0,1,575,0,0,426000,40.7631938,-73.9669656
"130 Water St APT 3D, New York, NY 10005",0,1,0,0,0,499000,40.7056373,-74.0070218
"17 W 108th St APT 88, New York, NY 10025",2,1,0,0,0,495000,40.7999265,-73.9602134
"512 E 82nd St #3D, New York, NY 10028",1,1,0,0,0,425000,40.7728278,-73.9483154
"35 Park Ave APT 10E, New York, NY 10016",0,1,0,0,0,499000,40.7480293,-73.9802951
"50 E 1st St #1, New York, NY 10003",1,1,350,0,0,499000,40.7239405,-73.9895428
"712 W 175th St APT 4B, New York, NY 10033",2,1,0,0,0,435000,40.8462162,-73.9392642
"222 E 35th St APT 5C, New York, NY 10016",1,1,800,0,0,499999,40.7457679,-73.9766886
"177 E 93rd St APT 2C, New York, NY 10128",1,1,700,0,0,499000,40.7837936,-73.9515314
"325 W 45th St #703, New York, NY 10036",0,1,400,0,0,480000,40.7599166,-73.989617
"25 Tudor City Pl APT 1720, New York, NY 10017",1,1,600,0,0,475000,40.7486361,-73.9705046
"201 W 21st St APT 5E, New York, NY 10011",0,1,0,0,0,445000,40.7430253,-73.9968208
"625 E 6th St APT 5, New York, NY 10009",0,1,600,0,0,499000,40.7240812,-73.9802345
"127 W 96th St APT 12G, New York, NY 10025",0,1,0,0,0,425000,40.7937732,-73.9690229
"57 Park Ter W APT 5H, New York, NY 10034",1,1,800,0,0,429000,40.8712171,-73.9179755
"420 E 51st St APT 10C, New York, NY 10022",2,2,1200,0,0,410000,40.7540119,-73.9651755
"181 E 101st St #204, New York, NY 10029",0,1,429,0,0,480000,40.7888462,-73.9478828
"930 Saint Nicholas Ave APT 63, New York, NY 10032",2,1,0,0,0,475000,40.8317363,-73.9407762
"502 W 141st St APT 2B, New York, NY 10031",2,1,0,0,0,425000,40.8227339,-73.9501289
"330 E 49th St APT 8G, New York, NY 10017",0,1,446,0,0,475000,40.7535152,-73.967769
"15 Jones St APT 1B, New York, NY 10014",1,1,0,0,0,599000,40.7322598,-74.0023646
"55 E 9th St APT 8C, New York, NY 10003",0,1,0,0,0,579000,40.7317271,-73.9927744
"160 W End Ave APT 8G, New York, NY 10023",0,1,0,0,0,500000,40.7761323,-73.9849173
"411 E 85th St, New York, NY 10028",2,1,950,0,0,589000,40.7760755,-73.9491065
"207 E 21st St APT 5B, New York, NY 10010",1,1,0,0,0,550000,40.7374624,-73.9833432
"403 E 62nd St APT 4D, New York, NY 10065",0,1,488,0,0,585000,40.7614519,-73.9599848
"230 E 71st St APT 2A, Manhattan, NY 10021",1,1,650,0,0,549000,40.7682206,-73.9596525
"321 E 43rd St APT 114, New York, NY 10017",1,1,0,0,0,549000,40.7502197,-73.9703532
"817 W End Ave APT 3CC, New York, NY 10025",1,1,565,0,0,595000,40.7976948,-73.9716509
"159 Madison Ave APT 12D, New York, NY 10016",1,1,0,0,0,599000,40.746707,-73.983684
"150 E 37th St PENTHOUSE A, New York, NY 10016",0,1,0,0,0,510000,40.747819,-73.9776662
"308 E 73rd St APT 3B, New York, NY 10021",1,1,0,0,0,500000,40.7690528,-73.9573242
"210 E 73rd St #5F, New York, NY 10021",0,1,0,0,0,545000,40.7698768,-73.9593105
"520 E 90th St APT 3E, New York, NY 10128",1,1,600,0,0,550000,40.7779941,-73.9448189
"280 Rector Pl APT 5O, New York, NY 10280",1,1,631,0,0,545000,40.7088551,-74.0166594
"415 E 85th St #12, New York, NY 10028",1,1,760,0,0,575000,40.7760118,-73.9487947
"333 E 55th St APT 8J, New York, NY 10022",1,1,0,0,0,599000,40.7575454,-73.9646234
"7 Park Ave APT 11F, New York, NY 10016",0,1,0,0,0,500000,40.7471448,-73.9808403
"531 Main St #410, New York, NY 10044",1,2,0,0,0,599000,40.7613925,-73.9505707
"70 Park Ter W APT E22, New York, NY 10034",2,1,950,0,0,599000,40.8713893,-73.9170901
"150 Nassau St APT 6J, New York, NY 10038",0,1,331,0,0,549000,40.7113887,-74.0059014
"157 Broome St APT 4D, New York, NY 10002",2,1,741,0,0,549000,40.7165242,-73.9852345
"94 Hamilton Pl #A4, New York, NY 10031",3,1,0,0,0,595000,40.8233183,-73.9504423
"240 E 35th St APT 9B, New York, NY 10016",1,1,0,0,0,525000,40.7455479,-73.9761845
"501 W 122nd St APT E1, New York, NY 10027",2,1,700,0,0,575000,40.8108573,-73.9585037
"475 Franklin D Roosevelt Dr APT L804, New York, NY 10002",1,1,800,0,0,535000,40.719451,-74.010292
"166 E 92nd St APT 4E, New York, NY 10128",1,1,700,0,0,510000,40.7827018,-73.9519471
"266 Broadway #405B, New York, NY 10002",1,1,0,0,0,599000,40.8492547,-73.3654797
"303 E 57th St APT 32C, New York, NY 10022",1,2,1100,0,0,600000,40.759561,-73.9645409
"309 E 87th St APT 3L, New York, NY 10128",0,1,0,0,0,525000,40.7783207,-73.9500044
"316 W 82nd St #1F, New York, NY 10024",1,1,685,0,0,595000,40.7864122,-73.9806485
"280 Rector Pl APT 6D, New York, NY 10280",1,1,625,0,0,575000,40.7088551,-74.0166594
"18 W 70th St APT 5G, New York, NY 10023",0,1,0,0,0,599000,40.7750882,-73.977815
"100 W 15th St APT 3A, New York, NY 10011",0,1,0,0,0,535000,40.7381129,-73.9967414
"321 E 54th St APT 2A, New York, NY 10022",0,1,0,0,0,520000,40.7571717,-73.9656654
"77 Perry St APT 4B, New York, NY 10014",0,1,0,0,0,595000,40.735561,-74.0044013
"116 W 72nd St APT 10B, New York, NY 10023",0,1,400,0,0,550000,40.7774136,-73.9795144
"100 W 12th St APT 6A, New York, NY 10011",0,1,0,0,0,525000,40.7360128,-73.9983713
"52 Riverside Dr APT 1A, New York, NY 10024",1,1,0,0,0,525000,40.7840611,-73.9833786
"400 E 56th St APT 12A, New York, NY 10022",1,1,561,0,0,569000,40.7570799,-73.9631038
"55 E 9th St APT 6B, New York, NY 10003",0,1,0,0,0,625000,40.7317271,-73.9927744
"210 E 15th St #3LL, New York, NY 10003",1,1,0,0,0,700000,40.733533,-73.986035
"23 E 10th St APT 5H, New York, NY 10003",1,1,0,0,0,650000,40.7327402,-73.993435
"664 W 161st St #4A, New York, NY 10032",3,2,0,0,0,655000,40.837397,-73.945029
