Address,Price
"100 W 57th St APT 5R, New York, NY 10019","173,000"
"303 E 57th St APT 28B, New York, NY 10022","300,000"
"100 W 57th St #19M, New York, NY 10019","109,000"
"303 E 57th St APT 32B, New York, NY 10022","329,000"
"303 E 57th St #37DE, New York, NY 10022","495,000"
"303 E 57th St APT 6L, New York, NY 10022","375,000"
"12 E 63rd St, New York, NY 10065","61,000,000"
"432 Park Ave #PENTHOUSE, New York, NY 10022","169,000,000"
"206 E 7th St #19/20, New York, NY 10009","950,000"
"77 Perry St APT 4B, New York, NY 10014","595,000"
"30 E 29th St PENTHOUSE C, New York, NY 10016","20,000,000"
"555 Main St APT 603, New York, NY 10044","635,000"
"181 E 101st St #207, New York, NY 10029","840,000"
"142 Watts St, New York, NY 10013","28,500,000"
"100 W 15th St APT 3A, New York, NY 10011","535,000"
"77 Bleecker St APT 206, New York, NY 10012","450,000"
"201 E 15th St APT 3E, New York, NY 10003","395,000"
"350 E 82nd St APT 14A, New York, NY 10028","4,500,000"
"118 Wooster St #4C5C, New York, NY 10012","4,950,000"
"120 W 87th St, New York, NY 10024","7,995,000"
"45 W 70th St, New York, NY 10023","18,700,000"
"7 Sutton Sq, New York, NY 10022","29,500,000"
"151 E 58th St PENTHOUSE 50, New York, NY 10022","58,500,000"
"781 5th Ave FLOOR 18, New York, NY 10022","55,000,000"
"1867 7th Ave #2A, New York, NY 10026","244,900"
"217 W Broadway, New York, NY 10013","45,000,000"
"240 E 35th St APT 1J, New York, NY 10016","425,000"
"310 W 79th St APT 6W, New York, NY 10024","1,850,000"
"240 Park Ave S, New York, NY 10003","25,000,000"
"308 E 73rd St APT 3B, New York, NY 10021","500,000"
"7 W 92nd St APT 56, New York, NY 10025","635,000"
"151 E 58th St PENTHOUSE 53W, New York, NY 10022","17,000,000"
"102 W 80th St APT 85, New York, NY 10024","430,000"
"11 E 68th St PENTHOUSE W, New York, NY 10065","35,000,000"
"420 E 51st St APT 3D, New York, NY 10022","425,000"
"260 W 132nd St, New York, NY 10027","3,350,000"
"111 E 81st St, New York, NY 10028","13,250,000"
"443 Greenwich St PENTHOUSE D, New York, NY 10013","27,500,000"
"171 W 73rd St APT 5, New York, NY 10023","545,000"
"1901 Madison Ave APT 404, New York, NY 10035","390,000"
"123 E 71st St, New York, NY 10021","16,375,000"
"500 W 25th St FLOOR 2, New York, NY 10001","4,000,000"
"40 E 80th St #17/18B, New York, NY 10075","1,700,000"
"40 Broad St PENTHOUSE 5A, New York, NY 10004","8,995,000"
"109 W 77th St, New York, NY 10024","6,950,000"
"230 W 105th St APT 14F, New York, NY 10025","250,000"
"14 E 4th St ROOM 1125, New York, NY 10012","2,595,000"
"153 E 57th St APT 5E, New York, NY 10022","395,000"
"268 E 4th St APT 5CD, New York, NY 10009","699,000"
"205 E 63rd St APT 3H, New York, NY 10065","235,000"
"188 Sullivan St, New York, NY 10012","8,500,000"
"325 5th Ave PH 43A, New York, NY 10016","11,250,000"
"62 Wooster St #4, New York, NY 10013","14,950,000"
"108 Leonard St APT 7N, New York, NY 10013","6,000,000"
"10 W 130th St, New York, NY 10037","3,995,000"
"115 Central Park W, New York, NY 10023","25,000,000"
"315 E 77th St APT 2G, New York, NY 10075","427,500"
"56 W 82nd St #PARLOR6, New York, NY 10024","925,000"
"269 W 87th St #4B, New York, NY 10024","2,600,000"
"244 E 90th St APT 2C, New York, NY 10128","320,000"
"41 Great Jones St #4, New York, NY 10012","22,850,000"
"111 E 75th St APT 7C, New York, NY 10021","625,000"
"303 E 57th St APT 7E, New York, NY 10022","299,000"
"67 Perry St APT 3, New York, NY 10014","2,995,000"
"1016 5th Ave #2ABC, New York, NY 10028","37,000,000"
"59 E 72nd St #2AB, New York, NY 10021","1,324,000"
"205 W 57th St #11BDE, New York, NY 10019","975,000"
"138 E 36th St APT 1B, New York, NY 10016","389,000"
"100 11th Ave PENTHOUSE A, New York, NY 10011","25,000,000"
"357 W 30th St #5/6, New York, NY 10001","1,100,000"
"250 E 49th St APT 6, New York, NY 10017","6,000,000"
"52 E 66th St #1, New York, NY 10065","24,800,000"
"134 W 113th St APT 4F, New York, NY 10026","225,000"
"303 W 122nd St APT 67, New York, NY 10027","499,500"
"60 E 83rd St, New York, NY 10028","23,000,000"
"88 E 3rd St APT 7, New York, NY 10003","459,000"
"35 W 20th St FLOOR 3, New York, NY 10011","2,295,000"
"575 Park Ave APT 1203, New York, NY 10065","345,000"
"327 E 22nd St #PENTHOUSE, New York, NY 10010","5,184,000"
"25 Columbus Cir #75CE, New York, NY 10019","39,999,999"
"165 E 94th St, New York, NY 10128","8,795,000"
"200 E 24th St APT 301, New York, NY 10010","350,000"
"357 E 62nd St, New York, NY 10065","3,975,000"
"53 Downing St APT 1, New York, NY 10014","15,700,000"
"303 E 57th St APT 19G, New York, NY 10022","650,000"
"225 E 79th St APT 14A, New York, NY 10075","485,000"
"280 Rector Pl APT 6D, New York, NY 10280","575,000"
"159 E 61st St, New York, NY 10065","17,900,000"
"343 E 18th St, New York, NY 10003","9,995,000"
"524 E 72nd St APT 42C, New York, NY 10021","2,150,000"
"744 Greenwich St APT 1, New York, NY 10014","10,750,000"
"100 Beekman St APT 18A, New York, NY 10038","579,900"
"114 E 90th St APT 1A, New York, NY 10128","649,000"
"337 W 20th St APT 4M, New York, NY 10011","1,200,000"
"550 Grand St APT H2D, New York, NY 10002","600,000"
"432 Park Ave APT 52C, New York, NY 10022","20,150,000"
"157 W 123rd St #4D, New York, NY 10027","299,000"
"3692 Broadway APT 62, New York, NY 10031","395,000"
"55 Liberty St, New York, NY 10005","1,885,000"
"360 E 88th St APT 6C, New York, NY 10128","895,000"
"280 Rector Pl APT 5O, New York, NY 10280","545,000"
"Three Bedroom Residence Plan, 200 Amsterdam","4,450,000+"
"832 Broadway APT 4, New York, NY 10003","5,000,000"
"420 E 51st St APT 14E, New York, NY 10022","530,000"
"177 E 93rd St APT 2C, New York, NY 10128","499,000"
"209 W 118th St APT 2D, New York, NY 10026","289,000"
"440 Riverside Dr #F, New York, NY 10027","425,000"
"205 E 63rd St APT 10H, New York, NY 10065","299,000"
"52 E End Ave APT 8A, New York, NY 10028","949,000"
"3 Gramercy Park, New York, NY 10003","4,999,999"
"15 Hudson PENTHOUSE 85D, New York, NY 10001","8,995,000"
"102 E 22nd St APT 3I, New York, NY 10010","755,000"
"256 W 75th St, New York, NY 10023","5,500,000"
"45 W 110th St APT 2B, New York, NY 10026","899,000"
"106 W 117th St APT 2E, New York, NY 10026","619,000"
"350 Bleecker St APT LB, New York, NY 10014","1,200,000"
"788 9th Ave APT 5B, New York, NY 10019","795,000"
"50 West St PENTHOUSE B58, New York, NY 10006","14,495,000"
"120 Manhattan Ave APT 4A, New York, NY 10025","1,295,000"
"205 3rd Ave APT 8M, New York, NY 10003","699,000"
"236 E 78th St APT 5D, New York, NY 10075","349,000"
"1486 5th Ave APT 3N, New York, NY 10035","265,000"
"134 W 82nd St APT 3C, New York, NY 10024","629,000"
"100 W 119th St PENTHOUSE A, New York, NY 10026","1,975,000"
